id,address,match_type,suburb_name,sa2_code
2044,"1/45 Bay Street, Red Beach, Rodney",containment_match,Red Beach West,113900
300,"1/470 East Coast Road, Mairangi Bay, North Shore City",containment_match,Mairangi Bay North,120500
2758,"1/48 Larrisa Avenue, Henderson, Waitakere City",containment_match,Henderson West,126702
4080,"1/49 Fernaig Street, Papakura, Papakura",containment_match,Papakura West,162800
2965,"1/49 Puriri Road, Manurewa, Manukau City",containment_match,Manurewa East,160800
2126,"1/49 Tarawera Terrace, Saint Heliers, Auckland City",containment_match,Saint Heliers West,142700
645,"1/494 Great South Road, Papatoetoe, Manukau City",containment_match,Papatoetoe West,154802
2166,"1/49A Landon Avenue, Mangere East, Manukau City",containment_match,Māngere East,153301
3376,"1/5 Balfour Road, Parnell, Auckland City",containment_match,Parnell East,137400
275,"1/5 Malaspina Place, Papatoetoe, Manukau City",containment_match,Papatoetoe West,154802
3517,"1/50 Casuarina Road, Half Moon Bay, Manukau City",containment_match,Half Moon Bay West,147800
268,"1/52 Jellicoe Road, Manurewa, Manukau City",containment_match,Manurewa East,160800
1865,"1/58 James Evans Drive, Northcote, North Shore City",containment_match,Northcote,320501
133,"1/6 Hythe Terrace, Mairangi Bay, North Shore City",containment_match,Mairangi Bay North,120500
3914,"1/6 Pah Road, Papatoetoe, Manukau City",containment_match,Papatoetoe West,154802
1021,"1/60 Disraeli Street, Mount Eden, Auckland City",containment_match,Mount Eden West,138400
402,"1/63 College Road, Northcote, North Shore City",containment_match,Northcote,320501
203,"1/64 Stredwick Drive, Torbay, North Shore City",containment_match,Torbay West,117201
2819,"1/64 Weymouth Road, Manurewa, Manukau City",containment_match,Manurewa East,160800
3156,"1/646 Pakuranga Road, Howick, Manukau City",containment_match,Howick West,150400
2386,"1/66 Browns Bay Road, Rothesay Bay, North Shore City",containment_match,Rothesay Bay,119000
2446,"1/67a Second Avenue, Kingsland, Auckland City",containment_match,Kingsland,134400
1408,"1/68 West Coast Road, Glen Eden, Waitakere City",containment_match,Glen Eden West,129600
2311,"1/69 Wordsworth Road, Manurewa, Manukau City",containment_match,Manurewa East,160800
2616,"1/7 Cindy Place, Pakuranga, Manukau City",containment_match,Pakuranga West,149001
1651,"1/7 Dakota Avenue, Beach Haven, North Shore City",containment_match,Beach Haven West,121800
2004,"1/76 Chilcott Road, Henderson, Waitakere City",containment_match,Henderson West,126702
2021,"1/7a Corunna Road, Milford, North Shore City",containment_match,Milford West,125400
